kernel_id,task,context_regime,scenario,probability,latency_ms_per_instance,bound_type,expected_latency_ms_per_instance,expected_total_latency_ms_all_instances
A.embed_lookup,A,long_agent_L100000,uncontended: exclusive HBM channel / NoC link access,0.70,1.664,bandwidth,2.4627,2.4627
A.embed_lookup,A,long_agent_L100000,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,4.3264,bandwidth,2.4627,2.4627
A.local_attn_layer.rmsnorm_attn,A,long_agent_L100000,uncontended: exclusive HBM channel / NoC link access,0.70,1.664,bandwidth,2.4627,96.047
A.local_attn_layer.rmsnorm_attn,A,long_agent_L100000,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,4.3264,bandwidth,2.4627,96.047
A.local_attn_layer.qkv_proj,A,long_agent_L100000,uncontended: exclusive HBM channel / NoC link access,0.70,30.671,compute,30.671,1196.2
A.local_attn_layer.qkv_proj,A,long_agent_L100000,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,30.671,compute,30.671,1196.2
A.local_attn_layer.attention,A,long_agent_L100000,uncontended: exclusive HBM channel / NoC link access,0.70,65.536,bandwidth,96.993,3782.7
A.local_attn_layer.attention,A,long_agent_L100000,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,170.39,bandwidth,96.993,3782.7
A.local_attn_layer.out_proj,A,long_agent_L100000,uncontended: exclusive HBM channel / NoC link access,0.70,27.263,compute,27.263,1063.3
A.local_attn_layer.out_proj,A,long_agent_L100000,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,27.263,compute,27.263,1063.3
A.local_attn_layer.rmsnorm_ffn,A,long_agent_L100000,uncontended: exclusive HBM channel / NoC link access,0.70,1.664,bandwidth,2.4627,96.047
A.local_attn_layer.rmsnorm_ffn,A,long_agent_L100000,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,4.3264,bandwidth,2.4627,96.047
